"source","species"
"birdtree","Threnetes_niger"
"birdtree","Glaucis_dohrnii"
"birdtree","Phaethornis_stuarti"
"birdtree","Phaethornis_squalidus"
"birdtree","Phaethornis_idaliae"
"birdtree","Aglaeactis_aliciae"
"birdtree","Haplophaedia_assimilis"
"birdtree","Eriocnemis_godini"
"birdtree","Eriocnemis_mirabilis"
"birdtree","Eriocnemis_isabellae"
"birdtree","Discosura_letitiae"
"birdtree","Lophornis_ornatus"
"birdtree","Lophornis_helenae"
"birdtree","Lophornis_gouldii"
"birdtree","Lophornis_brachylophus"
"birdtree","Lophornis_stictolophus"
"birdtree","Lophornis_adorabilis"
"birdtree","Phlogophilus_hemileucurus"
"birdtree","Heliangelus_mavors"
"birdtree","Aglaiocercus_berlepschi"
"birdtree","Ramphomicron_dorsale"
"birdtree","Oreotrochilus_adela"
"birdtree","Chalcostigma_heteropogon"
"birdtree","Metallura_iracunda"
"birdtree","Eugenes_spectabilis"
"birdtree","Calothorax_pulcher"
"birdtree","Selasphorus_ardens"
"birdtree","Atthis_ellioti"
"birdtree","Doricha_enicura"
"birdtree","Chaetocercus_berlepschi"
"birdtree","Chaetocercus_astreans"
"birdtree","Chaetocercus_heliodor"
"birdtree","Hylocharis_humboldtii"
"birdtree","Chlorostilbon_russatus"
"birdtree","Chlorostilbon_gibsoni"
"birdtree","Campylopterus_curvipennis"
"birdtree","Campylopterus_phainopeplus"
"birdtree","Hylonympha_macrocerca"
"birdtree","Sternoclyta_cyanopectus"
"birdtree","Amazilia_boucardi"
"birdtree","Lepidopyga_lilliae"
"birdtree","Amazilia_luciae"
"else","Colibri_cyanotus"
"else","Calliphlox_lyrura"
"else","Oxypogon_lindenii"
"else","Oxypogon_guerinii"
"else","Phaethornis_aethopygus"
"else","Stephanoxis_loddigesii"
"else","Anopetia_gounellei"
"else","Oreotrochilus_leucopleurus"
"else","Chaetocercus_jourdanii"
"else","Chlorostilbon_olivaresi"
"else","Chlorostilbon_stenurus"
"else","Chlorostilbon_alice"
"else","Chlorostilbon_auriceps"
"else","Amazilia_cyanifrons"
